Group,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360
Control,1.094152745,1.062903512,1.066543877,0.107434465,0.134951916,0.157372227,0.172141025,0.173386488,0.19650523,0.201099363,0.227686309,0.243860564,0.260786607,0.276283847,0.30082197,0.289989367,0.312296213,0.327252608,0.341803484,0.35038562,0.367373295,0.355149064,0.364255534,0.387290763,0.407106599,0.401842949,0.403378797,0.437281076,0.449812617,0.447094801,0.480449053,0.472017858,0.485109324,0.484256277,0.474956023,0.494321727,0.500820811,0.532193769,0.502969812,0.542353272
Control,0.90881957,0.885576735,0.947604041,0.230216251,0.248342698,0.26214512,0.288070719,0.301655226,0.301856829,0.300087278,0.33326275,0.34327126,0.342451597,0.359363548,0.348057014,0.371548729,0.36783473,0.382551741,0.389380531,0.396689769,0.399408284,0.407509387,0.420901778,0.433700218,0.415179493,0.433386591,0.436646875,0.4359703,0.446010266,0.447897736,0.446745381,0.442271428,0.456549491,0.46540168,0.44979845,0.45610485,0.46299792,0.468607627,0.475564554,0.486249177
Control,1.097304143,1.05204461,1.0970046,0.130600875,0.168947368,0.18240621,0.200489094,0.209849349,0.241522019,0.237537349,0.231909296,0.241285782,0.267017269,0.257575216,0.27123598,0.266409948,0.279220091,0.288056044,0.285153924,0.305047498,0.31118155,0.3490637,0.371242892,0.370707838,0.358036408,0.34179191,0.329361139,0.331212672,0.347441686,0.363172734,0.322381137,0.360196834,0.391043708,0.391585903,0.376566714,0.384870368,0.378374161,0.373280868,0.407572468,0.359497012
Control,0.987842178,1.00719314,1.013916654,0.152836479,0.189379128,0.215653404,0.218296199,0.220570594,0.234059953,0.228758499,0.253802729,0.27780788,0.275128134,0.283910936,0.267717972,0.258305427,0.286152814,0.292213495,0.311527618,0.349534149,0.3185266,0.341248673,0.306430215,0.353989438,0.363291477,0.358937564,0.365349764,0.376166927,0.405499816,0.405316415,0.374297771,0.379868407,0.398908994,0.403863155,0.407685992,0.404010767,0.425454938,0.434954689,0.430965878,0.442832508
Control,0.813956308,0.768623437,0.813528099,0.12557021,0.138174243,0.147264974,0.158553208,0.16373889,0.18218719,0.171292835,0.191368594,0.202333301,0.202746861,0.202695049,0.201302187,0.217963729,0.214298923,0.206688584,0.223519001,0.219069767,0.237378466,0.225512319,0.228242824,0.243228602,0.22209095,0.259261008,0.232084034,0.2449461,0.239348698,0.246032127,0.256997218,0.257760611,0.265860737,0.281986149,0.25780257,0.261614871,0.271614772,0.275399715,0.272923611,0.269342236
Control,1.093284752,1.185429659,1.12571629,0.256389518,0.347598396,0.382948214,0.411978297,0.400548476,0.420292169,0.441823254,0.470502075,0.495083817,0.461283363,0.497036276,0.512030601,0.518156652,0.542977112,0.556625706,0.575010343,0.571679859,0.569601235,0.594527468,0.571503468,0.613687692,0.636016726,0.611284016,0.595704949,0.590227423,0.636474394,0.630241112,0.629597595,0.614367563,0.628701688,0.632958193,0.631090678,0.639944374,0.635695818,0.646580219,0.61841782,0.641870126
Control,0.771793702,0.786339579,0.763496823,0.141495252,0.165754135,0.169769946,0.173138668,0.188357936,0.185341228,0.20432697,0.224145105,0.200193699,0.229102107,0.235263443,0.247979591,0.251596671,0.266007166,0.271130581,0.248323805,0.294343047,0.287602894,0.284621105,0.300791284,0.300330033,0.299826073,0.308900414,0.274119299,0.299429811,0.299612494,0.310311839,0.308411416,0.313354301,0.320130275,0.303104542,0.325170807,0.321506368,0.330617226,0.334995076,0.32404701,0.355186218
Control,0.857356466,0.901710835,0.839545545,0.073731567,0.091069235,0.095486268,0.117690424,0.132417683,0.142617007,0.126252646,0.136371045,0.148721691,0.14708046,0.162323296,0.163686161,0.17271482,0.180437088,0.18956575,0.188844323,0.208238416,0.200909025,0.216460525,0.226436532,0.245391733,0.229792871,0.231636791,0.237641712,0.239433476,0.241334286,0.23950444,0.259340281,0.246107607,0.273166394,0.268883446,0.267916709,0.275678448,0.272066407,0.311330561,0.282622405,0.284159114
Control,1.053107995,1.036555175,1.063747998,0.114474777,0.146096052,0.15324977,0.186439284,0.181751207,0.194877083,0.199582282,0.208756717,0.221117979,0.227335556,0.224772721,0.243905094,0.250604546,0.242900595,0.25455183,0.27047557,0.258040513,0.285001781,0.277672037,0.292821489,0.291513838,0.298418383,0.304512404,0.305516343,0.302548651,0.321523151,0.33598387,0.328158081,0.32804428,0.357274506,0.34842402,0.353916895,0.349155224,0.355032291,0.361174004,0.352653131,0.362231447
Control,1.235085945,1.199701719,1.200180737,0.133170179,0.159312828,0.119166098,0.181674321,0.200465227,0.20170761,0.223959943,0.223056268,0.238438772,0.243745624,0.237329963,0.238076728,0.250704141,0.269219982,0.266113787,0.268456798,0.276608205,0.289112419,0.298702954,0.280951506,0.3028463,0.296119348,0.313430497,0.312277467,0.339659384,0.333596041,0.322361579,0.332483205,0.351409908,0.321796985,0.349255068,0.355293743,0.366003063,0.355168111,0.367900354,0.378273521,0.358576009
Control,0.983555466,0.989856341,0.9983876,0.188991116,0.203889521,0.215143193,0.236443371,0.245213355,0.247515623,0.261508704,0.276309543,0.272857032,0.278831289,0.273604375,0.292049008,0.297107319,0.298381366,0.303311814,0.320287982,0.316841527,0.333368825,0.331811146,0.339726528,0.335401158,0.343797107,0.341946643,0.353912649,0.359466876,0.380223362,0.362453191,0.371465228,0.373092232,0.362540785,0.368707518,0.365826509,0.368485756,0.368401536,0.377088369,0.378062521,0.375374125
Control,1.120150926,1.19543606,1.11369893,0.115369745,0.166066341,0.177264516,0.190444354,0.196377249,0.222998114,0.24375632,0.244132295,0.281313387,0.290142382,0.280715515,0.307448259,0.310262117,0.328718467,0.333918201,0.342513586,0.369357684,0.379658523,0.398104633,0.424345788,0.418911054,0.426619703,0.41929139,0.439695234,0.427694389,0.445910861,0.464675892,0.463283087,0.474182354,0.496571694,0.4892,0.496203473,0.493580974,0.528428901,0.519572187,0.547680197,0.560035505
Control,0.981401134,0.97061171,0.992353246,0.115789779,0.139050193,0.161379963,0.175853564,0.180112185,0.18958073,0.20445014,0.211820053,0.21443663,0.2209198,0.230020969,0.2378333,0.241617647,0.263207715,0.264046963,0.277751507,0.281718674,0.289889896,0.288557065,0.282002706,0.294067094,0.30423059,0.304838283,0.305437843,0.313731406,0.321662484,0.331305277,0.33066562,0.326302437,0.345411709,0.351916909,0.327734499,0.337389833,0.345668083,0.377712539,0.38589496,0.392370239
Control,1.084311859,1.095973816,1.07094153,0.098605505,0.134771987,0.151761025,0.171181204,0.186837929,0.195541122,0.197207109,0.19887361,0.235676292,0.237639613,0.244689985,0.269638901,0.268425493,0.277598298,0.267385687,0.277493163,0.301303495,0.297869899,0.312795835,0.323608329,0.327024561,0.309305225,0.329512006,0.321481482,0.383226226,0.396748663,0.383041544,0.383330557,0.404885782,0.39039196,0.410985635,0.413521151,0.41984793,0.439494737,0.445013338,0.440274619,0.476693878
